Seq,DateListed,民國年,統計日期,縣市,縣市別代碼,統計項目,數值
1,"20230730","107","20181231","臺中市","66000","原住民保留地土地_面積_公頃","6379.348"
2,"20230730","107","20181231","臺中市","66000","建地_住商行工文等區及甲乙丙丁建地_面積_公頃","92.707"
3,"20230730","107","20181231","臺中市","66000","農業區_農牧用地_面積_公頃","2943.042"
4,"20230730","107","20181231","臺中市","66000","林業用地_面積_公頃","2628.161"
5,"20230730","107","20181231","臺中市","66000","其他_含交通特目水利國土保安等用地_面積_公頃","715.438"
6,"20230730","107","20181231","基隆市","10017","原住民保留地土地_面積_公頃","3.452"
7,"20230730","107","20181231","基隆市","10017","建地_住商行工文等區及甲乙丙丁建地_面積_公頃","1.669"
8,"20230730","107","20181231","基隆市","10017","農業區_農牧用地_面積_公頃","0"
9,"20230730","107","20181231","基隆市","10017","林業用地_面積_公頃","0"
10,"20230730","107","20181231","基隆市","10017","其他_含交通特目水利國土保安等用地_面積_公頃","1.783"
11,"20230730","107","20181231","高雄市","64000","原住民保留地土地_面積_公頃","16516.124"
12,"20230730","107","20181231","高雄市","64000","建地_住商行工文等區及甲乙丙丁建地_面積_公頃","81.747"
13,"20230730","107","20181231","高雄市","64000","農業區_農牧用地_面積_公頃","4198.007"
14,"20230730","107","20181231","高雄市","64000","林業用地_面積_公頃","11844.539"
15,"20230730","107","20181231","高雄市","64000","其他_含交通特目水利國土保安等用地_面積_公頃","391.831"
16,"20230730","107","20181231","新北市","65000","原住民保留地土地_面積_公頃","2105.132"
17,"20230730","107","20181231","新北市","65000","建地_住商行工文等區及甲乙丙丁建地_面積_公頃","10.907"
18,"20230730","107","20181231","新北市","65000","農業區_農牧用地_面積_公頃","0"
19,"20230730","107","20181231","新北市","65000","林業用地_面積_公頃","1.033"
20,"20230730","107","20181231","新北市","65000","其他_含交通特目水利國土保安等用地_面積_公頃","2093.192"
21,"20230730","107","20181231","宜蘭縣","10002","原住民保留地土地_面積_公頃","14771.783"
22,"20230730","107","20181231","宜蘭縣","10002","建地_住商行工文等區及甲乙丙丁建地_面積_公頃","101.113"
23,"20230730","107","20181231","宜蘭縣","10002","農業區_農牧用地_面積_公頃","4127.613"
24,"20230730","107","20181231","宜蘭縣","10002","林業用地_面積_公頃","10074.778"
25,"20230730","107","20181231","宜蘭縣","10002","其他_含交通特目水利國土保安等用地_面積_公頃","468.279"
26,"20230730","107","20181231","桃園市","68000","原住民保留地土地_面積_公頃","12048.332"
27,"20230730","107","20181231","桃園市","68000","建地_住商行工文等區及甲乙丙丁建地_面積_公頃","95.474"
28,"20230730","107","20181231","桃園市","68000","農業區_農牧用地_面積_公頃","2238.576"
29,"20230730","107","20181231","桃園市","68000","林業用地_面積_公頃","8455.572"
30,"20230730","107","20181231","桃園市","68000","其他_含交通特目水利國土保安等用地_面積_公頃","1258.71"
31,"20230730","107","20181231","新竹縣","10004","原住民保留地土地_面積_公頃","18193.458"
32,"20230730","107","20181231","新竹縣","10004","建地_住商行工文等區及甲乙丙丁建地_面積_公頃","88.829"
33,"20230730","107","20181231","新竹縣","10004","農業區_農牧用地_面積_公頃","4611.681"
34,"20230730","107","20181231","新竹縣","10004","林業用地_面積_公頃","13273.492"
35,"20230730","107","20181231","新竹縣","10004","其他_含交通特目水利國土保安等用地_面積_公頃","219.456"
36,"20230730","107","20181231","苗栗縣","10005","原住民保留地土地_面積_公頃","9085.12"
37,"20230730","107","20181231","苗栗縣","10005","建地_住商行工文等區及甲乙丙丁建地_面積_公頃","55.351"
38,"20230730","107","20181231","苗栗縣","10005","農業區_農牧用地_面積_公頃","2876.683"
39,"20230730","107","20181231","苗栗縣","10005","林業用地_面積_公頃","5947.562"
40,"20230730","107","20181231","苗栗縣","10005","其他_含交通特目水利國土保安等用地_面積_公頃","205.524"
41,"20230730","107","20181231","南投縣","10008","原住民保留地土地_面積_公頃","32044.916"
42,"20230730","107","20181231","南投縣","10008","建地_住商行工文等區及甲乙丙丁建地_面積_公頃","214.362"
43,"20230730","107","20181231","南投縣","10008","農業區_農牧用地_面積_公頃","9401.3"
44,"20230730","107","20181231","南投縣","10008","林業用地_面積_公頃","21118.199"
45,"20230730","107","20181231","南投縣","10008","其他_含交通特目水利國土保安等用地_面積_公頃","1311.055"
46,"20230730","107","20181231","嘉義縣","10010","原住民保留地土地_面積_公頃","6646.395"
47,"20230730","107","20181231","嘉義縣","10010","建地_住商行工文等區及甲乙丙丁建地_面積_公頃","34.421"
48,"20230730","107","20181231","嘉義縣","10010","農業區_農牧用地_面積_公頃","3264.467"
49,"20230730","107","20181231","嘉義縣","10010","林業用地_面積_公頃","3114.672"
50,"20230730","107","20181231","嘉義縣","10010","其他_含交通特目水利國土保安等用地_面積_公頃","232.835"
51,"20230730","107","20181231","屏東縣","10013","原住民保留地土地_面積_公頃","68128.425"
52,"20230730","107","20181231","屏東縣","10013","建地_住商行工文等區及甲乙丙丁建地_面積_公頃","283.58"
53,"20230730","107","20181231","屏東縣","10013","農業區_農牧用地_面積_公頃","16368.439"
54,"20230730","107","20181231","屏東縣","10013","林業用地_面積_公頃","49102.969"
55,"20230730","107","20181231","屏東縣","10013","其他_含交通特目水利國土保安等用地_面積_公頃","2373.437"
56,"20230730","107","20181231","花蓮縣","10015","原住民保留地土地_面積_公頃","30419.984"
57,"20230730","107","20181231","花蓮縣","10015","建地_住商行工文等區及甲乙丙丁建地_面積_公頃","324.096"
58,"20230730","107","20181231","花蓮縣","10015","農業區_農牧用地_面積_公頃","11153.296"
59,"20230730","107","20181231","花蓮縣","10015","林業用地_面積_公頃","16058.841"
60,"20230730","107","20181231","花蓮縣","10015","其他_含交通特目水利國土保安等用地_面積_公頃","2883.751"
61,"20230730","107","20181231","臺東縣","10014","原住民保留地土地_面積_公頃","48118.299"
62,"20230730","107","20181231","臺東縣","10014","建地_住商行工文等區及甲乙丙丁建地_面積_公頃","354.172"
63,"20230730","107","20181231","臺東縣","10014","農業區_農牧用地_面積_公頃","14515.214"
64,"20230730","107","20181231","臺東縣","10014","林業用地_面積_公頃","31491.188"
65,"20230730","107","20181231","臺東縣","10014","其他_含交通特目水利國土保安等用地_面積_公頃","1757.725"
66,"20230730","108","20191231","臺中市","66000","原住民保留地土地_面積_公頃","6378.765"
67,"20230730","108","20191231","臺中市","66000","建地_住商行工文等區及甲乙丙丁建地_面積_公頃","93.976"
68,"20230730","108","20191231","臺中市","66000","農業區_農牧用地_面積_公頃","2952.881"
69,"20230730","108","20191231","臺中市","66000","林業用地_面積_公頃","2655.955"
70,"20230730","108","20191231","臺中市","66000","其他_含交通特目水利國土保安等用地_面積_公頃","675.953"
71,"20230730","108","20191231","基隆市","10017","原住民保留地土地_面積_公頃","3.452"
72,"20230730","108","20191231","基隆市","10017","建地_住商行工文等區及甲乙丙丁建地_面積_公頃","1.669"
73,"20230730","108","20191231","基隆市","10017","農業區_農牧用地_面積_公頃","0"
74,"20230730","108","20191231","基隆市","10017","林業用地_面積_公頃","0"
75,"20230730","108","20191231","基隆市","10017","其他_含交通特目水利國土保安等用地_面積_公頃","1.783"
76,"20230730","108","20191231","高雄市","64000","原住民保留地土地_面積_公頃","16573.105"
77,"20230730","108","20191231","高雄市","64000","建地_住商行工文等區及甲乙丙丁建地_面積_公頃","83.193"
78,"20230730","108","20191231","高雄市","64000","農業區_農牧用地_面積_公頃","4211.47"
79,"20230730","108","20191231","高雄市","64000","林業用地_面積_公頃","11891.132"
80,"20230730","108","20191231","高雄市","64000","其他_含交通特目水利國土保安等用地_面積_公頃","387.31"
81,"20230730","108","20191231","新北市","65000","原住民保留地土地_面積_公頃","2111.405"
