Seq,DateListed,統計日期,年度,縣市,縣市代碼,地政事務所有註記保留地之土地筆數,地政事務所有註記保留地之土地總面積_公頃
1,"20191130","20191004","108","臺中市","66000","17273","6378.765"
2,"20191130","20191004","108","基隆市","10017","49","3.452"
3,"20191130","20191004","108","高雄市","64000","18087","16573.105"
4,"20191130","20191004","108","新北市","65000","7536","2111.405"
5,"20191130","20191004","108","宜蘭縣","10002","28941","14781.673"
6,"20191130","20191004","108","桃園市","68000","30607","12058.238"
7,"20191130","20191004","108","新竹縣","10004","34134","18188.536"
8,"20191130","20191004","108","苗栗縣","10005","18454","9090.495"
9,"20191130","20191004","108","南投縣","10008","51116","32082.516"
10,"20191130","20191004","108","嘉義縣","10010","7160","6646.054"
11,"20191130","20191004","108","屏東縣","10013","95026","68149.117"
12,"20191130","20191004","108","花蓮縣","10015","68206","30532.887"
13,"20191130","20191004","108","臺東縣","10014","65271","48239.235"
14,"20220805","20220517","111","臺中市","66000","17689","6396.736"
15,"20220805","20220517","111","基隆市","10017","49","3.452"
16,"20220805","20220517","111","高雄市","64000","18413","16894.652"
17,"20220805","20220517","111","新北市","65000","7692","2111.816"
18,"20220805","20220517","111","宜蘭縣","10002","29624","14780.959"
19,"20220805","20220517","111","桃園市","68000","31807","12088.8"
20,"20220805","20220517","111","新竹縣","10004","35131","18195.365"
21,"20220805","20220517","111","苗栗縣","10005","18869","9145.202"
22,"20220805","20220517","111","南投縣","10008","53889","32121.294"
23,"20220805","20220517","111","嘉義縣","10010","7333","6707.441"
24,"20220805","20220517","111","屏東縣","10013","96405","68213.692"
25,"20220805","20220517","111","花蓮縣","10015","70728","30925.877"
26,"20220805","20220517","111","臺東縣","10014","68385","48481.386"
27,"20231212","20231017","112","臺中市","66000","17834","6394.162"
28,"20231212","20231017","112","基隆市","10017","49","3.452"
29,"20231212","20231017","112","高雄市","64000","18607","16924.223"
30,"20231212","20231017","112","新北市","65000","7738","2111.816"
31,"20231212","20231017","112","宜蘭縣","10002","29761","14783.66"
32,"20231212","20231017","112","桃園市","68000","32193","12091.219"
33,"20231212","20231017","112","新竹縣","10004","35477","18195.293"
34,"20231212","20231017","112","苗栗縣","10005","19344","9161.77"
35,"20231212","20231017","112","南投縣","10008","55471","32129.265"
36,"20231212","20231017","112","嘉義縣","10010","7446","6748.131"
37,"20231212","20231017","112","屏東縣","10013","96835","68235.32"
38,"20231212","20231017","112","花蓮縣","10015","72079","31037.459"
39,"20231212","20231017","112","臺東縣","10014","70332","48659.42"
