Seq,DateListed,統計日期,年度,縣市,縣市別代碼,統計項目,面積,資料筆數
1,"20240906","20211017","110","臺中市","66000","私有保留地","1184.563","5764"
2,"20240906","20211017","110","臺中市","66000","國有土地","5200.327","13560"
3,"20240906","20211017","110","臺中市","66000","省有土地","0","0"
4,"20240906","20211017","110","臺中市","66000","縣有土地","0","0"
5,"20240906","20211017","110","臺中市","66000","鄉有土地","3.83","56"
6,"20240906","20211017","110","臺中市","66000","公有土地","5204.157","13616"
7,"20240906","20211017","110","臺中市","66000","其他單位","2.772","20"
8,"20240906","20211017","110","臺中市","66000","所有權部總計","6391.492","19400"
9,"20240906","20211017","110","基隆市","10017","私有保留地","0.272","178"
10,"20240906","20211017","110","基隆市","10017","國有土地","3.111","47"
11,"20240906","20211017","110","基隆市","10017","省有土地","0","0"
12,"20240906","20211017","110","基隆市","10017","縣有土地","0","0"
13,"20240906","20211017","110","基隆市","10017","鄉有土地","0.069","2"
14,"20240906","20211017","110","基隆市","10017","公有土地","3.18","49"
15,"20240906","20211017","110","基隆市","10017","其他單位","0","0"
16,"20240906","20211017","110","基隆市","10017","所有權部總計","3.452","227"
17,"20240906","20211017","110","高雄市","64000","私有保留地","8801.2","19107"
18,"20240906","20211017","110","高雄市","64000","國有土地","7940.559","6786"
19,"20240906","20211017","110","高雄市","64000","省有土地","0","0"
20,"20240906","20211017","110","高雄市","64000","縣有土地","0","0"
21,"20240906","20211017","110","高雄市","64000","鄉有土地","9.28","166"
22,"20240906","20211017","110","高雄市","64000","公有土地","7949.839","6952"
23,"20240906","20211017","110","高雄市","64000","其他單位","9.08","40"
24,"20240906","20211017","110","高雄市","64000","所有權部總計","16760.119","26099"
25,"20240906","20211017","110","新北市","65000","私有保留地","972.639","5296"
26,"20240906","20211017","110","新北市","65000","國有土地","1121.068","4104"
27,"20240906","20211017","110","新北市","65000","省有土地","0","0"
28,"20240906","20211017","110","新北市","65000","縣有土地","0","0"
29,"20240906","20211017","110","新北市","65000","鄉有土地","0","0"
30,"20240906","20211017","110","新北市","65000","公有土地","1121.068","4104"
31,"20240906","20211017","110","新北市","65000","其他單位","0.769","22"
32,"20240906","20211017","110","新北市","65000","所有權部總計","2094.476","9422"
33,"20240906","20211017","110","宜蘭縣","10002","私有保留地","6433.891","24439"
34,"20240906","20211017","110","宜蘭縣","10002","國有土地","8319.278","11380"
35,"20240906","20211017","110","宜蘭縣","10002","省有土地","0","0"
36,"20240906","20211017","110","宜蘭縣","10002","縣有土地","2.289","54"
37,"20240906","20211017","110","宜蘭縣","10002","鄉有土地","2.238","56"
38,"20240906","20211017","110","宜蘭縣","10002","公有土地","8323.805","11490"
39,"20240906","20211017","110","宜蘭縣","10002","其他單位","2.647","7"
40,"20240906","20211017","110","宜蘭縣","10002","所有權部總計","14760.343","35936"
41,"20240906","20211017","110","桃園市","68000","私有保留地","5195.828","23180"
42,"20240906","20211017","110","桃園市","68000","國有土地","6854.268","14918"
43,"20240906","20211017","110","桃園市","68000","省有土地","0","0"
44,"20240906","20211017","110","桃園市","68000","縣有土地","0","0"
45,"20240906","20211017","110","桃園市","68000","鄉有土地","0","0"
46,"20240906","20211017","110","桃園市","68000","公有土地","6854.268","14918"
47,"20240906","20211017","110","桃園市","68000","其他單位","12.197","115"
48,"20240906","20211017","110","桃園市","68000","所有權部總計","12062.293","38213"
49,"20240906","20211017","110","新竹縣","10004","私有保留地","12589.275","35097"
50,"20240906","20211017","110","新竹縣","10004","國有土地","5554.659","10366"
51,"20240906","20211017","110","新竹縣","10004","省有土地","0","0"
52,"20240906","20211017","110","新竹縣","10004","縣有土地","1.55","40"
53,"20240906","20211017","110","新竹縣","10004","鄉有土地","0.839","18"
54,"20240906","20211017","110","新竹縣","10004","公有土地","5557.048","10424"
55,"20240906","20211017","110","新竹縣","10004","其他單位","6.855","15"
56,"20240906","20211017","110","新竹縣","10004","所有權部總計","18153.178","45536"
57,"20240906","20211017","110","苗栗縣","10005","私有保留地","5311.007","19201"
58,"20240906","20211017","110","苗栗縣","10005","國有土地","3764.043","6469"
59,"20240906","20211017","110","苗栗縣","10005","省有土地","0","0"
60,"20240906","20211017","110","苗栗縣","10005","縣有土地","9.81","123"
61,"20240906","20211017","110","苗栗縣","10005","鄉有土地","0.422","16"
62,"20240906","20211017","110","苗栗縣","10005","公有土地","3774.275","6608"
63,"20240906","20211017","110","苗栗縣","10005","其他單位","5.808","25"
64,"20240906","20211017","110","苗栗縣","10005","所有權部總計","9091.09","25834"
65,"20240906","20211017","110","南投縣","10008","私有保留地","11887.755","36681"
66,"20240906","20211017","110","南投縣","10008","國有土地","20153.267","26023"
67,"20240906","20211017","110","南投縣","10008","省有土地","0","0"
68,"20240906","20211017","110","南投縣","10008","縣有土地","2.85","178"
69,"20240906","20211017","110","南投縣","10008","鄉有土地","3.664","93"
70,"20240906","20211017","110","南投縣","10008","公有土地","20159.781","26294"
71,"20240906","20211017","110","南投縣","10008","其他單位","2.76","11"
72,"20240906","20211017","110","南投縣","10008","所有權部總計","32050.296","62986"
73,"20240906","20211017","110","嘉義縣","10010","私有保留地","4823.392","9193"
74,"20240906","20211017","110","嘉義縣","10010","國有土地","1821.791","2036"
75,"20240906","20211017","110","嘉義縣","10010","省有土地","0","0"
76,"20240906","20211017","110","嘉義縣","10010","縣有土地","5.694","65"
77,"20240906","20211017","110","嘉義縣","10010","鄉有土地","0.23","16"
78,"20240906","20211017","110","嘉義縣","10010","公有土地","1827.715","2117"
79,"20240906","20211017","110","嘉義縣","10010","其他單位","0.886","17"
80,"20240906","20211017","110","嘉義縣","10010","所有權部總計","6651.993","11327"
81,"20240906","20211017","110","屏東縣","10013","私有保留地","38665.97","94409"
82,"20240906","20211017","110","屏東縣","10013","國有土地","29440.264","28995"
83,"20240906","20211017","110","屏東縣","10013","省有土地","0","0"
84,"20240906","20211017","110","屏東縣","10013","縣有土地","8.067","264"
85,"20240906","20211017","110","屏東縣","10013","鄉有土地","4.61","98"
86,"20240906","20211017","110","屏東縣","10013","公有土地","29452.941","29357"
87,"20240906","20211017","110","屏東縣","10013","其他單位","9.136","39"
88,"20240906","20211017","110","屏東縣","10013","所有權部總計","68128.047","123805"
89,"20240906","20211017","110","花蓮縣","10015","私有保留地","15290.829","66339"
90,"20240906","20211017","110","花蓮縣","10015","國有土地","15451.446","24743"
91,"20240906","20211017","110","花蓮縣","10015","省有土地","0","0"
92,"20240906","20211017","110","花蓮縣","10015","縣有土地","21.194","278"
93,"20240906","20211017","110","花蓮縣","10015","鄉有土地","15.084","128"
94,"20240906","20211017","110","花蓮縣","10015","公有土地","15487.724","25149"
95,"20240906","20211017","110","花蓮縣","10015","其他單位","4.587","26"
96,"20240906","20211017","110","花蓮縣","10015","所有權部總計","30783.14","91514"
97,"20240906","20211017","110","臺東縣","10014","私有保留地","18753.693","51457"
98,"20240906","20211017","110","臺東縣","10014","國有土地","29511.791","30367"
99,"20240906","20211017","110","臺東縣","10014","省有土地","0","0"
100,"20240906","20211017","110","臺東縣","10014","縣有土地","44.415","573"
101,"20240906","20211017","110","臺東縣","10014","鄉有土地","17.949","258"
102,"20240906","20211017","110","臺東縣","10014","公有土地","29574.155","31198"
103,"20240906","20211017","110","臺東縣","10014","其他單位","11.449","26"
104,"20240906","20211017","110","臺東縣","10014","所有權部總計","48339.297","82681"
105,"20240906","20220517","111","臺中市","66000","私有保留地","1216.421","5906"
106,"20240906","20220517","111","臺中市","66000","國有土地","5168.486","13503"
107,"20240906","20220517","111","臺中市","66000","省有土地","0","0"
108,"20240906","20220517","111","臺中市","66000","縣有土地","0","0"
109,"20240906","20220517","111","臺中市","66000","鄉有土地","3.83","56"
110,"20240906","20220517","111","臺中市","66000","公有土地","5172.316","13559"
111,"20240906","20220517","111","臺中市","66000","其他單位","2.773","20"
112,"20240906","20220517","111","臺中市","66000","所有權部總計","6391.51","19485"
113,"20240906","20220517","111","基隆市","10017","私有保留地","0.272","178"
114,"20240906","20220517","111","基隆市","10017","國有土地","3.111","47"
115,"20240906","20220517","111","基隆市","10017","省有土地","0","0"
116,"20240906","20220517","111","基隆市","10017","縣有土地","0","0"
117,"20240906","20220517","111","基隆市","10017","鄉有土地","0.069","2"
118,"20240906","20220517","111","基隆市","10017","公有土地","3.18","49"
119,"20240906","20220517","111","基隆市","10017","其他單位","0","0"
120,"20240906","20220517","111","基隆市","10017","所有權部總計","3.452","227"
121,"20240906","20220517","111","高雄市","64000","私有保留地","8894.097","19294"
122,"20240906","20220517","111","高雄市","64000","國有土地","7844.252","6819"
123,"20240906","20220517","111","高雄市","64000","省有土地","0","0"
124,"20240906","20220517","111","高雄市","64000","縣有土地","0","0"
125,"20240906","20220517","111","高雄市","64000","鄉有土地","9.28","166"
126,"20240906","20220517","111","高雄市","64000","公有土地","7853.532","6985"
127,"20240906","20220517","111","高雄市","64000","其他單位","9.352","40"
128,"20240906","20220517","111","高雄市","64000","所有權部總計","16756.981","26319"
129,"20240906","20220517","111","新北市","65000","私有保留地","994.71","5344"
130,"20240906","20220517","111","新北市","65000","國有土地","1115.654","4107"
131,"20240906","20220517","111","新北市","65000","省有土地","0","0"
132,"20240906","20220517","111","新北市","65000","縣有土地","0","0"
133,"20240906","20220517","111","新北市","65000","鄉有土地","0","0"
134,"20240906","20220517","111","新北市","65000","公有土地","1115.654","4107"
135,"20240906","20220517","111","新北市","65000","其他單位","0.912","27"
136,"20240906","20220517","111","新北市","65000","所有權部總計","2111.276","9478"
137,"20240906","20220517","111","宜蘭縣","10002","私有保留地","6468.114","25199"
138,"20240906","20220517","111","宜蘭縣","10002","國有土地","8289.299","11355"
139,"20240906","20220517","111","宜蘭縣","10002","省有土地","0","0"
140,"20240906","20220517","111","宜蘭縣","10002","縣有土地","2.46","67"
141,"20240906","20220517","111","宜蘭縣","10002","鄉有土地","2.471","57"
142,"20240906","20220517","111","宜蘭縣","10002","公有土地","8294.23","11479"
143,"20240906","20220517","111","宜蘭縣","10002","其他單位","2.753","8"
144,"20240906","20220517","111","宜蘭縣","10002","所有權部總計","14765.097","36686"
145,"20240906","20220517","111","桃園市","68000","私有保留地","5238.475","23735"
146,"20240906","20220517","111","桃園市","68000","國有土地","6820.987","15211"
147,"20240906","20220517","111","桃園市","68000","省有土地","0","0"
148,"20240906","20220517","111","桃園市","68000","縣有土地","0","0"
149,"20240906","20220517","111","桃園市","68000","鄉有土地","0","0"
150,"20240906","20220517","111","桃園市","68000","公有土地","6820.987","15211"
151,"20240906","20220517","111","桃園市","68000","其他單位","11.624","111"
152,"20240906","20220517","111","桃園市","68000","所有權部總計","12071.086","39057"
153,"20240906","20220517","111","新竹縣","10004","私有保留地","12693.946","35799"
154,"20240906","20220517","111","新竹縣","10004","國有土地","5453.965","10217"
155,"20240906","20220517","111","新竹縣","10004","省有土地","0","0"
156,"20240906","20220517","111","新竹縣","10004","縣有土地","1.57","41"
157,"20240906","20220517","111","新竹縣","10004","鄉有土地","0.895","20"
158,"20240906","20220517","111","新竹縣","10004","公有土地","5456.43","10278"
159,"20240906","20220517","111","新竹縣","10004","其他單位","5.037","12"
160,"20240906","20220517","111","新竹縣","10004","所有權部總計","18155.413","46089"
161,"20240906","20220517","111","苗栗縣","10005","私有保留地","5359.132","19258"
