Seq,DateListed,統計日期,年度,縣市,縣市別代碼,地政事務所有註記保留地之土地筆數,地政事務所有註記保留地之土地總面積_公頃
1,"20220318","20191004","108","臺中市","66000","17273","6378.765"
2,"20220318","20191004","108","基隆市","10017","49","3.452"
3,"20220318","20191004","108","高雄市","64000","18087","16573.105"
4,"20220318","20191004","108","新北市","65000","7536","2111.405"
5,"20220318","20191004","108","宜蘭縣","10002","28941","14781.673"
6,"20220318","20191004","108","桃園市","68000","30607","12058.238"
7,"20220318","20191004","108","新竹縣","10004","34134","18188.536"
8,"20220318","20191004","108","苗栗縣","10005","18454","9090.495"
9,"20220318","20191004","108","南投縣","10008","51116","32082.516"
10,"20220318","20191004","108","嘉義縣","10010","7160","6646.054"
11,"20220318","20191004","108","屏東縣","10013","95026","68149.117"
12,"20220318","20191004","108","花蓮縣","10015","68206","30532.887"
13,"20220318","20191004","108","臺東縣","10014","65271","48239.235"
14,"20220318","20211017","110","臺中市","66000","17609","6395.225"
15,"20220318","20211017","110","基隆市","10017","49","3.452"
16,"20220318","20211017","110","高雄市","64000","18280","16884.159"
17,"20220318","20211017","110","新北市","65000","7647","2094.216"
18,"20220318","20211017","110","宜蘭縣","10002","29463","14775.797"
19,"20220318","20211017","110","桃園市","68000","31360","12079.43"
20,"20220318","20211017","110","新竹縣","10004","34992","18193.901"
21,"20220318","20211017","110","苗栗縣","10005","18792","9121.12"
22,"20220318","20211017","110","南投縣","10008","53054","32095.381"
23,"20220318","20211017","110","嘉義縣","10010","7305","6707.468"
24,"20220318","20211017","110","屏東縣","10013","95911","68195.708"
25,"20220318","20211017","110","花蓮縣","10015","70101","30820.302"
26,"20220318","20211017","110","臺東縣","10014","67468","48405.833"
27,"20220805","20220517","111","臺中市","66000","17689","6396.736"
28,"20220805","20220517","111","基隆市","10017","49","3.452"
29,"20220805","20220517","111","高雄市","64000","18413","16894.652"
30,"20220805","20220517","111","新北市","65000","7692","2111.816"
31,"20220805","20220517","111","宜蘭縣","10002","29624","14780.959"
32,"20220805","20220517","111","桃園市","68000","31807","12088.8"
33,"20220805","20220517","111","新竹縣","10004","35131","18195.365"
34,"20220805","20220517","111","苗栗縣","10005","18869","9145.202"
35,"20220805","20220517","111","南投縣","10008","53889","32121.294"
36,"20220805","20220517","111","嘉義縣","10010","7333","6707.441"
37,"20220805","20220517","111","屏東縣","10013","96405","68213.692"
38,"20220805","20220517","111","花蓮縣","10015","70728","30925.877"
39,"20220805","20220517","111","臺東縣","10014","68385","48481.386"
40,"20240725","20231017","112","臺中市","66000","17834","6394.162"
41,"20240725","20231017","112","基隆市","10017","49","3.452"
42,"20240725","20231017","112","高雄市","64000","18607","16924.223"
43,"20240725","20231017","112","新北市","65000","7738","2111.816"
44,"20240725","20231017","112","宜蘭縣","10002","29761","14783.66"
45,"20240725","20231017","112","桃園市","68000","32193","12091.219"
46,"20240725","20231017","112","新竹縣","10004","35477","18195.293"
47,"20240725","20231017","112","苗栗縣","10005","19344","9161.77"
48,"20240725","20231017","112","南投縣","10008","55471","32129.265"
49,"20240725","20231017","112","嘉義縣","10010","7446","6748.131"
50,"20240725","20231017","112","屏東縣","10013","96835","68235.32"
51,"20240725","20231017","112","花蓮縣","10015","72079","31037.459"
52,"20240725","20231017","112","臺東縣","10014","70332","48659.42"
53,"20240725","20240409","113","臺中市","66000","17862","6394.15"
54,"20240725","20240409","113","基隆市","10017","49","3.452"
55,"20240725","20240409","113","高雄市","64000","18674","16926.58"
56,"20240725","20240409","113","新北市","65000","7750","2111.82"
57,"20240725","20240409","113","宜蘭縣","10002","29764","14783.68"
58,"20240725","20240409","113","桃園市","68000","32312","12091.59"
59,"20240725","20240409","113","新竹縣","10004","35558","18195.6"
60,"20240725","20240409","113","苗栗縣","10005","19397","9166.6"
61,"20240725","20240409","113","南投縣","10008","55876","32128.92"
62,"20240725","20240409","113","嘉義縣","10010","7468","6748.38"
63,"20240725","20240409","113","屏東縣","10013","96934","68235.11"
64,"20240725","20240409","113","花蓮縣","10015","72409","31080.95"
65,"20240725","20240409","113","臺東縣","10014","70774","48700.89"
