Seq,DateListed,年度,統計日期,縣市,縣市別代碼,統計項目,數值
1,"20240906","109","20200809","臺中市","66000","原住民保留地土地","6390.34"
2,"20240906","109","20200809","臺中市","66000","建地_住商行工文等區及甲乙丙丁建地","93.581"
3,"20240906","109","20200809","臺中市","66000","農業區_農牧用地","2958.193"
4,"20240906","109","20200809","臺中市","66000","林業用地","2663.165"
5,"20240906","109","20200809","臺中市","66000","其他_含交通特目水利國土保安等用地","675.401"
6,"20240906","109","20200809","基隆市","10017","原住民保留地土地","3.452"
7,"20240906","109","20200809","基隆市","10017","建地_住商行工文等區及甲乙丙丁建地","1.669"
8,"20240906","109","20200809","基隆市","10017","農業區_農牧用地","0"
9,"20240906","109","20200809","基隆市","10017","林業用地","0"
10,"20240906","109","20200809","基隆市","10017","其他_含交通特目水利國土保安等用地","1.783"
11,"20240906","109","20200809","高雄市","64000","原住民保留地土地","16570.809"
12,"20240906","109","20200809","高雄市","64000","建地_住商行工文等區及甲乙丙丁建地","83.193"
13,"20240906","109","20200809","高雄市","64000","農業區_農牧用地","4194.658"
14,"20240906","109","20200809","高雄市","64000","林業用地","11908.718"
15,"20240906","109","20200809","高雄市","64000","其他_含交通特目水利國土保安等用地","384.24"
16,"20240906","109","20200809","新北市","65000","原住民保留地土地","2111.854"
17,"20240906","109","20200809","新北市","65000","建地_住商行工文等區及甲乙丙丁建地","12.039"
18,"20240906","109","20200809","新北市","65000","農業區_農牧用地","0.566"
19,"20240906","109","20200809","新北市","65000","林業用地","1.033"
20,"20240906","109","20200809","新北市","65000","其他_含交通特目水利國土保安等用地","2098.216"
21,"20240906","109","20200809","宜蘭縣","10002","原住民保留地土地","14785.579"
22,"20240906","109","20200809","宜蘭縣","10002","建地_住商行工文等區及甲乙丙丁建地","102.58"
23,"20240906","109","20200809","宜蘭縣","10002","農業區_農牧用地","4132.071"
24,"20240906","109","20200809","宜蘭縣","10002","林業用地","10076.128"
25,"20240906","109","20200809","宜蘭縣","10002","其他_含交通特目水利國土保安等用地","474.8"
26,"20240906","109","20200809","桃園市","68000","原住民保留地土地","12068.22"
27,"20240906","109","20200809","桃園市","68000","建地_住商行工文等區及甲乙丙丁建地","97.842"
28,"20240906","109","20200809","桃園市","68000","農業區_農牧用地","2247.749"
29,"20240906","109","20200809","桃園市","68000","林業用地","8455.094"
30,"20240906","109","20200809","桃園市","68000","其他_含交通特目水利國土保安等用地","1267.535"
31,"20240906","109","20200809","新竹縣","10004","原住民保留地土地","18189.742"
32,"20240906","109","20200809","新竹縣","10004","建地_住商行工文等區及甲乙丙丁建地","88.824"
33,"20240906","109","20200809","新竹縣","10004","農業區_農牧用地","4592.678"
34,"20240906","109","20200809","新竹縣","10004","林業用地","13288.422"
35,"20240906","109","20200809","新竹縣","10004","其他_含交通特目水利國土保安等用地","219.818"
36,"20240906","109","20200809","苗栗縣","10005","原住民保留地土地","9103.828"
37,"20240906","109","20200809","苗栗縣","10005","建地_住商行工文等區及甲乙丙丁建地","55.502"
38,"20240906","109","20200809","苗栗縣","10005","農業區_農牧用地","2882.365"
39,"20240906","109","20200809","苗栗縣","10005","林業用地","5954.898"
40,"20240906","109","20200809","苗栗縣","10005","其他_含交通特目水利國土保安等用地","211.063"
41,"20240906","109","20200809","南投縣","10008","原住民保留地土地","32081.316"
42,"20240906","109","20200809","南投縣","10008","建地_住商行工文等區及甲乙丙丁建地","216.016"
43,"20240906","109","20200809","南投縣","10008","農業區_農牧用地","9402.476"
44,"20240906","109","20200809","南投縣","10008","林業用地","21122.768"
45,"20240906","109","20200809","南投縣","10008","其他_含交通特目水利國土保安等用地","1340.056"
46,"20240906","109","20200809","嘉義縣","10010","原住民保留地土地","6669.193"
47,"20240906","109","20200809","嘉義縣","10010","建地_住商行工文等區及甲乙丙丁建地","34.452"
48,"20240906","109","20200809","嘉義縣","10010","農業區_農牧用地","3244.434"
49,"20240906","109","20200809","嘉義縣","10010","林業用地","3134.241"
50,"20240906","109","20200809","嘉義縣","10010","其他_含交通特目水利國土保安等用地","256.066"
51,"20240906","109","20200809","屏東縣","10013","原住民保留地土地","68177.877"
52,"20240906","109","20200809","屏東縣","10013","建地_住商行工文等區及甲乙丙丁建地","279.057"
53,"20240906","109","20200809","屏東縣","10013","農業區_農牧用地","15717.314"
54,"20240906","109","20200809","屏東縣","10013","林業用地","49786.357"
55,"20240906","109","20200809","屏東縣","10013","其他_含交通特目水利國土保安等用地","2395.149"
56,"20240906","109","20200809","花蓮縣","10015","原住民保留地土地","30545.278"
57,"20240906","109","20200809","花蓮縣","10015","建地_住商行工文等區及甲乙丙丁建地","338.324"
58,"20240906","109","20200809","花蓮縣","10015","農業區_農牧用地","11299.283"
59,"20240906","109","20200809","花蓮縣","10015","林業用地","16007.052"
60,"20240906","109","20200809","花蓮縣","10015","其他_含交通特目水利國土保安等用地","2900.619"
61,"20240906","109","20200809","臺東縣","10014","原住民保留地土地","48285.417"
62,"20240906","109","20200809","臺東縣","10014","建地_住商行工文等區及甲乙丙丁建地","355.591"
63,"20240906","109","20200809","臺東縣","10014","農業區_農牧用地","14599.531"
64,"20240906","109","20200809","臺東縣","10014","林業用地","31762.361"
65,"20240906","109","20200809","臺東縣","10014","其他_含交通特目水利國土保安等用地","1567.934"
66,"20240906","109","20200930","臺中市","66000","原住民保留地土地","6390.34"
67,"20240906","109","20200930","臺中市","66000","建地_住商行工文等區及甲乙丙丁建地","93.581"
68,"20240906","109","20200930","臺中市","66000","農業區_農牧用地","2958.193"
69,"20240906","109","20200930","臺中市","66000","林業用地","2663.165"
70,"20240906","109","20200930","臺中市","66000","其他_含交通特目水利國土保安等用地","675.401"
71,"20240906","109","20200930","基隆市","10017","原住民保留地土地","3.452"
72,"20240906","109","20200930","基隆市","10017","建地_住商行工文等區及甲乙丙丁建地","1.669"
73,"20240906","109","20200930","基隆市","10017","農業區_農牧用地","0"
74,"20240906","109","20200930","基隆市","10017","林業用地","0"
75,"20240906","109","20200930","基隆市","10017","其他_含交通特目水利國土保安等用地","1.783"
76,"20240906","109","20200930","高雄市","64000","原住民保留地土地","16570.809"
77,"20240906","109","20200930","高雄市","64000","建地_住商行工文等區及甲乙丙丁建地","83.193"
78,"20240906","109","20200930","高雄市","64000","農業區_農牧用地","4190.248"
79,"20240906","109","20200930","高雄市","64000","林業用地","11913.164"
80,"20240906","109","20200930","高雄市","64000","其他_含交通特目水利國土保安等用地","384.204"
81,"20240906","109","20200930","新北市","65000","原住民保留地土地","2111.854"
82,"20240906","109","20200930","新北市","65000","建地_住商行工文等區及甲乙丙丁建地","12.311"
83,"20240906","109","20200930","新北市","65000","農業區_農牧用地","0.566"
84,"20240906","109","20200930","新北市","65000","林業用地","1.033"
85,"20240906","109","20200930","新北市","65000","其他_含交通特目水利國土保安等用地","2097.944"
86,"20240906","109","20200930","宜蘭縣","10002","原住民保留地土地","14785.639"
87,"20240906","109","20200930","宜蘭縣","10002","建地_住商行工文等區及甲乙丙丁建地","102.58"
88,"20240906","109","20200930","宜蘭縣","10002","農業區_農牧用地","4129.44"
89,"20240906","109","20200930","宜蘭縣","10002","林業用地","10078.82"
90,"20240906","109","20200930","宜蘭縣","10002","其他_含交通特目水利國土保安等用地","474.799"
91,"20240906","109","20200930","桃園市","68000","原住民保留地土地","12068.22"
92,"20240906","109","20200930","桃園市","68000","建地_住商行工文等區及甲乙丙丁建地","97.405"
93,"20240906","109","20200930","桃園市","68000","農業區_農牧用地","2247.466"
94,"20240906","109","20200930","桃園市","68000","林業用地","8455.377"
95,"20240906","109","20200930","桃園市","68000","其他_含交通特目水利國土保安等用地","1267.972"
96,"20240906","109","20200930","新竹縣","10004","原住民保留地土地","18189.423"
97,"20240906","109","20200930","新竹縣","10004","建地_住商行工文等區及甲乙丙丁建地","88.824"
98,"20240906","109","20200930","新竹縣","10004","農業區_農牧用地","4592.059"
99,"20240906","109","20200930","新竹縣","10004","林業用地","13288.722"
100,"20240906","109","20200930","新竹縣","10004","其他_含交通特目水利國土保安等用地","219.818"
101,"20240906","109","20200930","苗栗縣","10005","原住民保留地土地","9103.835"
102,"20240906","109","20200930","苗栗縣","10005","建地_住商行工文等區及甲乙丙丁建地","55.551"
103,"20240906","109","20200930","苗栗縣","10005","農業區_農牧用地","2882.556"
104,"20240906","109","20200930","苗栗縣","10005","林業用地","5954.658"
105,"20240906","109","20200930","苗栗縣","10005","其他_含交通特目水利國土保安等用地","211.07"
106,"20240906","109","20200930","南投縣","10008","原住民保留地土地","32081.766"
107,"20240906","109","20200930","南投縣","10008","建地_住商行工文等區及甲乙丙丁建地","216.014"
108,"20240906","109","20200930","南投縣","10008","農業區_農牧用地","9402.654"
109,"20240906","109","20200930","南投縣","10008","林業用地","21124.475"
110,"20240906","109","20200930","南投縣","10008","其他_含交通特目水利國土保安等用地","1338.623"
111,"20240906","109","20200930","嘉義縣","10010","原住民保留地土地","6669.193"
112,"20240906","109","20200930","嘉義縣","10010","建地_住商行工文等區及甲乙丙丁建地","34.452"
113,"20240906","109","20200930","嘉義縣","10010","農業區_農牧用地","3244.434"
114,"20240906","109","20200930","嘉義縣","10010","林業用地","3134.241"
115,"20240906","109","20200930","嘉義縣","10010","其他_含交通特目水利國土保安等用地","256.066"
116,"20240906","109","20200930","屏東縣","10013","原住民保留地土地","68178.005"
117,"20240906","109","20200930","屏東縣","10013","建地_住商行工文等區及甲乙丙丁建地","279.057"
118,"20240906","109","20200930","屏東縣","10013","農業區_農牧用地","15714.145"
119,"20240906","109","20200930","屏東縣","10013","林業用地","49789.654"
120,"20240906","109","20200930","屏東縣","10013","其他_含交通特目水利國土保安等用地","2395.149"
121,"20240906","109","20200930","花蓮縣","10015","原住民保留地土地","30552.649"
122,"20240906","109","20200930","花蓮縣","10015","建地_住商行工文等區及甲乙丙丁建地","338.418"
123,"20240906","109","20200930","花蓮縣","10015","農業區_農牧用地","11305.758"
124,"20240906","109","20200930","花蓮縣","10015","林業用地","16007.629"
125,"20240906","109","20200930","花蓮縣","10015","其他_含交通特目水利國土保安等用地","2900.844"
126,"20240906","109","20200930","臺東縣","10014","原住民保留地土地","48290.423"
127,"20240906","109","20200930","臺東縣","10014","建地_住商行工文等區及甲乙丙丁建地","355.619"
128,"20240906","109","20200930","臺東縣","10014","農業區_農牧用地","14603.763"
129,"20240906","109","20200930","臺東縣","10014","林業用地","31763.66"
130,"20240906","109","20200930","臺東縣","10014","其他_含交通特目水利國土保安等用地","1567.381"
131,"20240906","111","20220517","臺中市","66000","原住民保留地土地","6396.736"
132,"20240906","111","20220517","臺中市","66000","建地_住商行工文等區及甲乙丙丁建地","93.449"
133,"20240906","111","20220517","臺中市","66000","農業區_農牧用地","2990.125"
134,"20240906","111","20220517","臺中市","66000","林業用地","2669.417"
135,"20240906","111","20220517","臺中市","66000","其他_含交通特目水利國土保安等用地","643.745"
136,"20240906","111","20220517","基隆市","10017","原住民保留地土地","3.452"
137,"20240906","111","20220517","基隆市","10017","建地_住商行工文等區及甲乙丙丁建地","1.669"
138,"20240906","111","20220517","基隆市","10017","農業區_農牧用地","0"
139,"20240906","111","20220517","基隆市","10017","林業用地","0"
140,"20240906","111","20220517","基隆市","10017","其他_含交通特目水利國土保安等用地","1.783"
